stop_id,stop_name,stop_lat,stop_lon,line,order
E05,Georgia Ave-Petworth,38.936077,-77.024728,GREEN,6
E04,Columbia Heights,38.928672,-77.032775,GREEN,7
E03,U Street/African-Amer Civil War Memorial/Cardozo,38.916489,-77.028938,GREEN,8
E02,Shaw-Howard U,38.912919,-77.022194,GREEN,9
E01,Mt Vernon Sq 7th St-Convention Center,38.905604,-77.022256,GREEN,10
F01,Gallery Pl-Chinatown,38.89834,-77.021851,GREEN,11
F02,Archives-Navy Memorial-Penn Quarter,38.893893,-77.021902,GREEN,12
F03,L'Enfant Plaza,38.884775,-77.021964,GREEN,13
F04,Waterfront,38.876221,-77.017491,GREEN,14
F05,Navy Yard-Ballpark,38.876588,-77.005086,GREEN,15
F06,Anacostia,38.862072,-76.995648,GREEN,16
F07,Congress Heights,38.845334,-76.98817,GREEN,17
F08,Southern Avenue,38.840974,-76.97536,GREEN,18
F09,Naylor Road,38.851187,-76.956565,GREEN,19
F10,Suitland,38.843891,-76.932022,GREEN,20
F11,Branch Ave,38.826995,-76.912134,GREEN,21
E06,Fort Totten,38.951777,-77.002174,YELLOW,1
E05,Georgia Ave-Petworth,38.936077,-77.024728,YELLOW,2
E04,Columbia Heights,38.928672,-77.032775,YELLOW,3
E03,U Street/African-Amer Civil War Memorial/Cardozo,38.916489,-77.028938,YELLOW,4
E02,Shaw-Howard U,38.912919,-77.022194,YELLOW,5
E01,Mt Vernon Sq 7th St-Convention Center,38.905604,-77.022256,YELLOW,6
F01,Gallery Pl-Chinatown,38.89834,-77.021851,YELLOW,7
F02,Archives-Navy Memorial-Penn Quarter,38.893893,-77.021902,YELLOW,8
F03,L'Enfant Plaza,38.884775,-77.021964,YELLOW,9
C07,Pentagon,38.869349,-77.054013,YELLOW,10
C08,Pentagon City,38.863045,-77.059507,YELLOW,11
C09,Crystal City,38.85779,-77.050589,YELLOW,12
C10,Ronald Reagan Washington National Airport,38.852985,-77.043805,YELLOW,13
C12,Braddock Road,38.814009,-77.053763,YELLOW,14
C13,King St-Old Town,38.806474,-77.061115,YELLOW,15
C14,Eisenhower Avenue,38.800313,-77.071173,YELLOW,16
C15,Huntington,38.793841,-77.075301,YELLOW,17
