stop_id,stop_name,stop_lat,stop_lon,line,order
F02,Archives-Navy Memorial-Penn Quarter,38.893893,-77.021902,GR,12
F03,L'Enfant Plaza,38.884775,-77.021964,GR,13
F04,Waterfront,38.876221,-77.017491,GR,14
F05,Navy Yard-Ballpark,38.876588,-77.005086,GR,15
F06,Anacostia,38.862072,-76.995648,GR,16
F07,Congress Heights,38.845334,-76.98817,GR,17
F08,Southern Avenue,38.840974,-76.97536,GR,18
F09,Naylor Road,38.851187,-76.956565,GR,19
F10,Suitland,38.843891,-76.932022,GR,20
F11,Branch Ave,38.826995,-76.912134,GR,21
E06,Fort Totten,38.951777,-77.002174,YL,1
E05,Georgia Ave-Petworth,38.936077,-77.024728,YL,2
E04,Columbia Heights,38.928672,-77.032775,YL,3
E03,U Street/African-Amer Civil War Memorial/Cardozo,38.916489,-77.028938,YL,4
E02,Shaw-Howard U,38.912919,-77.022194,YL,5
E01,Mt Vernon Sq 7th St-Convention Center,38.905604,-77.022256,YL,6
F01,Gallery Pl-Chinatown,38.89834,-77.021851,YL,7
F02,Archives-Navy Memorial-Penn Quarter,38.893893,-77.021902,YL,8
F03,L'Enfant Plaza,38.884775,-77.021964,YL,9
C07,Pentagon,38.869349,-77.054013,YL,10
C08,Pentagon City,38.863045,-77.059507,YL,11
C09,Crystal City,38.85779,-77.050589,YL,12
C10,Ronald Reagan Washington National Airport,38.852985,-77.043805,YL,13
C12,Braddock Road,38.814009,-77.053763,YL,14
C13,King St-Old Town,38.806474,-77.061115,YL,15
C14,Eisenhower Avenue,38.800313,-77.071173,YL,16
C15,Huntington,38.793841,-77.075301,YL,17
